City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
335,terrace bay,15,CA,few clouds,66,48.7834,-87.1,65.07,0.0,0,7.52
336,seoul,9,KR,clear sky,65,37.5683,126.9778,83.71,0.0,0,2.98
337,pithoro,100,PK,overcast clouds,74,25.5167,69.3833,83.16,0.0,0,22.55
338,svetlyy,68,RU,broken clouds,89,54.675,20.1347,66.25,0.0,0,6.29
339,sain alto,54,MX,broken clouds,31,23.5833,-103.25,77.99,0.0,0,13.96
340,whitehorse,100,CA,overcast clouds,67,60.7161,-135.0538,64.02,0.0,0,11.01
341,ishigaki,100,JP,overcast clouds,85,24.3448,124.1572,82.72,0.0,0,4.68
342,vila,0,PT,clear sky,90,42.0304,-8.1588,56.28,0.0,0,4.41
343,nicoya,99,CR,overcast clouds,86,10.1483,-85.452,78.35,0.0,0,1.99
344,maiduguri,100,NG,heavy intensity rain,93,11.8464,13.1603,72.48,4.26,0,6.87
345,mandalgovi,91,MN,overcast clouds,64,45.7625,106.2708,65.52,0.0,0,3.2
346,ayabaca,86,PE,light rain,77,-4.6398,-79.7149,54.63,0.21,0,4.09
347,husavik,100,IS,overcast clouds,99,66.0449,-17.3389,50.61,0.0,0,9.44
348,maningrida,80,AU,broken clouds,77,-12.0667,134.2667,73.49,0.0,0,7.58
349,sterlibashevo,58,RU,broken clouds,84,53.4376,55.2578,55.81,0.0,0,7.45
350,saint-louis,74,SN,broken clouds,65,16.3333,-15.0,79.41,0.0,0,17.96
351,moengo,71,SR,broken clouds,97,5.6167,-54.4,73.69,0.0,0,3.42
352,velyka oleksandrivka,4,UA,clear sky,51,47.3197,33.3037,73.15,0.0,0,5.41
353,cayenne,20,GF,few clouds,86,4.9333,-52.3333,81.09,0.0,0,3.0
354,peterhead,64,GB,broken clouds,94,57.5058,-1.7981,62.11,0.0,0,10.04
355,inhambane,0,MZ,clear sky,64,-23.865,35.3833,64.54,0.0,0,7.49
356,isangel,23,VU,few clouds,61,-19.55,169.2667,73.74,0.0,0,15.5
357,narsaq,60,GL,broken clouds,70,60.9167,-46.05,47.61,0.0,0,4.36
358,upington,0,ZA,clear sky,36,-28.4478,21.2561,52.21,0.0,0,8.43
359,kavieng,14,PG,few clouds,69,-2.5744,150.7967,85.01,0.0,0,10.76
360,dongfeng,44,CN,scattered clouds,79,42.6403,125.5118,77.4,0.0,0,0.89
361,bud,0,US,clear sky,59,39.447,-86.1758,88.93,0.0,0,0.89
362,karoi,10,ZW,clear sky,63,-16.8099,29.6925,48.42,0.0,0,5.55
363,yarqa,0,JO,clear sky,66,31.9785,35.6947,77.05,0.0,0,2.19
364,kokorevka,76,RU,broken clouds,68,52.5872,34.2778,66.34,0.0,0,5.48
365,malanje,80,AO,broken clouds,24,-9.5402,16.341,63.59,0.0,0,3.49
366,itupiranga,3,BR,clear sky,44,-5.1347,-49.3267,80.76,0.0,0,1.36
367,ornes,31,NO,scattered clouds,62,66.8689,13.7078,67.84,0.0,0,2.66
368,almeria,0,ES,clear sky,64,37.1667,-2.3333,75.15,0.0,0,1.1
369,smoky lake,1,CA,clear sky,19,54.1169,-112.4686,79.48,0.0,0,14.0
370,palmer,40,US,moderate rain,61,42.1584,-72.3287,83.46,2.18,0,4.74
371,hanna,45,CA,scattered clouds,28,51.6334,-111.9018,85.41,0.0,0,8.61
372,campbell river,0,CA,clear sky,43,50.0163,-125.2446,80.26,0.0,0,3.96
