City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
485,zhetysay,KZ,71.38,40.7333,68.3,Kazpochta
489,wasilla,US,69.3,61.5814,-149.4394,Alaska's Select Inn Wasilla
492,flin flon,CA,69.12,54.7682,-101.865,Victoria Inn Flin Flon
494,bireun,ID,77.23,5.203,96.7009,Rumah Bp.AR. ISMAIL
495,elblag,PL,67.96,54.1522,19.4088,HOTEL RESTAURACJA ŻUŁAWY ELBLĄG
498,kaluga,RU,63.91,54.5,35.5,
500,skagen,DK,65.26,57.7209,10.5839,Ruth's Hotel
503,concarneau,FR,61.05,47.875,-3.9225,Brit Hotel de L' Océan
506,imeni poliny osipenko,RU,72.09,52.4201,136.4853,Yubileynaya
510,nouadhibou,MR,68.79,20.931,-17.0347,El Medina
511,moyobamba,PE,68.65,-6.05,-76.9667,LA CASA DE MI SUEÑO - Garden Home Lodge
513,galdar,ES,72.36,28.147,-15.6502,Hostel Guide
514,shetpe,KZ,75.58,44.1667,52.1167,Rtsm Shetpe Analog
517,nizhniy tsasuchey,RU,63.09,50.5167,115.1333,
520,valencia,ES,73.69,39.3333,-0.8333,Masia El Pino
521,aleksandrov gay,RU,71.82,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
522,gamboula,CF,69.01,4.1178,15.1393,
523,nawada,IN,79.81,24.8833,85.5333,Hotal Rajshree International
532,yantal,RU,69.4,56.8471,105.2542,
534,eureka,US,60.19,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
535,ciudad ojeda,VE,79.84,10.1964,-71.3082,Amira minimarket
536,oneonta,US,69.48,42.4529,-75.0638,Hampton Inn Oneonta
538,ler,SS,69.24,8.3018,30.1418,
539,ayr,GB,60.49,55.4627,-4.6339,Mercure Ayr Hotel
541,cabedelo,BR,75.87,-6.9811,-34.8339,Hotel Pigalle
543,canaries,ES,66.4,28.0,-15.5,Villa del Monte
545,ossora,RU,62.01,59.2353,163.0719,
547,lusambo,CD,67.32,-4.9667,23.45,
550,miraflores,MX,75.02,19.2167,-98.8083,Hotel Mansión
551,tsaratanana,MG,65.84,-16.7833,47.65,
553,marfino,RU,69.1,55.7028,37.3822,Nemchinovka-Park
556,ortakoy,TR,66.45,38.7373,34.0387,Berilhan Hotel
558,ayan,RU,72.39,56.45,138.1667,Gostinitsa
561,arilje,RS,78.26,43.7531,20.0956,Apartman Avakumovic
562,mitsamiouli,KM,75.54,-11.3847,43.2844,Foyer ADM
565,saint-pierre,RE,67.68,-21.3393,55.4781,Lindsey Hôtel
566,bhainsdehi,IN,70.29,21.6467,77.6325,Prince Rathore HOME
567,valenca,BR,69.26,-13.3703,-39.0731,Hotel Galeão
